E_min,E_max,S_min,S_max,n0_min,n0_max,N_min,N_max
0.5, 0.8, 1e11, 1e16, 1e5, 1e7, 1e5, 1e7
0.9, 1, 1e11, 1e16, 1e5, 1e7, 1e5, 1e7
1.3, 1.4, 1e11, 1e16, 1e5, 1e7, 1e5, 1e7
1.4, 1.5, 1e11, 1e16, 1e5, 1e7, 1e5, 1e7
1.5, 1.6, 1e11, 1e16, 1e5, 1e7, 1e5, 1e7
