temp_c,intensity_cps
445.6,251.03
446.5,260.93
447.4,271.56
448.6,284.78
449.6,297.64
450.5,309.25
451.6,323.76
452.5,335.69
453.4,349.09
454.5,365.32
455.4,379.74
456.4,394.73
457.4,412.56
458.3,428.67
459.2,445.59
460.3,466.12
461.3,484.73
462.1,503.03
463.1,523.78
464,543.32
464.8,562.17
465.7,584.61
466.6,605.41
467.3,625.62
468,643.79
468.7,662.22
469.3,679.16
469.9,697.42
470.6,717.38
471.3,737.6
471.9,758.38
472.6,780.09
473.4,805.8
474,828.16
474.7,851.86
475.5,879.94
476.1,904.74
476.8,930.64
477.6,961.72
478.3,990.08
479,1019.27
479.8,1056.42
480.5,1088.03
481.2,1119.65
482,1158.02
482.7,1192.17
483.4,1227.32
484.2,1269.92
485,1310.13
485.7,1351.6
486.6,1405.01
487.3,1444.62
488,1489.73
489,1551.86
489.8,1604.37
490.5,1655.86
491.4,1716.22
492.2,1772.06
492.9,1828.16
493.8,1897.2
494.5,1956.45
495.2,2015.85
496.1,2094.62
496.8,2154.58
497.5,2216.26
498.3,2294.15
499,2362.8
499.7,2431.46
500.6,2527.54
501.3,2600.99
502,2675.45
502.8,2768.31
