E_fitted,s_fitted,N_fitted,n0_fitted,E_initial,s_initial,N_initial,n0_initial,temp_K,int_peak1,int_peak2,int_peak3,int_peak4,int_peak5,int_peak6,int_peak7,int_peak8,int_peak9,int_sum,temp_data_K,int_data_cps
0.802141393568822,686594716555.0177,989639.4653585993,64319.77444326669,0.8060134938762451,686594716365.4882,990012.4229362233,66815.68872640544,297.08257118999995,71.64019641541992,4.183117502979414,0.05899849445486503,5.418254203673607e-05,9.856081127691885e-08,1.0758178603926613e-08,3.3844059489972604e-11,1.7364983453141785e-11,,75.88236670476645,297.08257118999995,47.30296788
0.8080344240956375,69358470123.8795,1739763.8379982898,72742.87198285795,0.8115024287945497,69358470068.48544,1739881.843096308,70794.51054704365,297.07253235999997,71.56463710299734,4.178660488241534,0.05892831227257072,5.410507282966206e-05,9.840706135963008e-08,1.0742559507200056e-08,3.3789927298717354e-11,1.733263837744536e-11,,75.80228011778502,297.07253235999997,47.8751812
0.9020549889510724,85729544794.86757,3376343.9385816446,67861.95841923282,0.902479152668235,85729544824.88432,3376168.957864575,66668.47687604078,297.08257118999995,71.64019641541992,4.183117502979414,0.05899849445486503,5.418254203673607e-05,9.856081127691885e-08,1.0758178603926613e-08,3.3844059489972604e-11,1.7364983453141785e-11,,75.88236670476645,297.08257118999995,54.74174105
1.0843466280283027,656379314079.3385,4777575.425185308,31056.995517287636,1.0886179816565278,656379314184.1647,4777427.824565816,32465.146155982216,297.07253235999997,71.56463710299734,4.178660488241534,0.05892831227257072,5.410507282966206e-05,9.840706135963008e-08,1.0742559507200056e-08,3.3789927298717354e-11,1.733263837744536e-11,,75.80228011778502,297.07253235999997,58.55649653
1.1831432209370754,65409829975.603035,3378919.22015805,24284.09047498345,1.1910430076098073,65409829610.49664,3379578.7430883315,25068.02475397979,297.08257118999995,71.64019641541992,4.183117502979414,0.05899849445486503,5.418254203673607e-05,9.856081127691885e-08,1.0758178603926613e-08,3.3844059489972604e-11,1.7364983453141785e-11,,75.88236670476645,297.08257118999995,58.36575875
1.1010837581210426,289211157.4076831,1163068.3176127207,14262.066190719503,1.0934442231281847,289211310.8891069,1161210.0210627199,3067.526238546766,297.07253235999997,71.56463710299734,4.178660488241534,0.05892831227257072,5.410507282966206e-05,9.840706135963008e-08,1.0742559507200056e-08,3.3789927298717354e-11,1.733263837744536e-11,,75.80228011778502,297.07253235999997,51.68993668
1.213133084484081,207508374.6359887,7750629.365691584,21730.966663341664,1.2118143810089734,207508382.4997775,7750626.279615487,22695.715137890016,297.08257118999995,71.64019641541992,4.183117502979414,0.05899849445486503,5.418254203673607e-05,9.856081127691885e-08,1.0758178603926613e-08,3.3844059489972604e-11,1.7364983453141785e-11,,75.88236670476645,297.08257118999995,44.2511635
1.4129484693380248,660739613.7597055,9088949.225237107,467203.27367379115,1.4086065017467546,660740039.9249854,9088738.298636911,473951.50354703306,297.07253235999997,71.56463710299734,4.178660488241534,0.05892831227257072,5.410507282966206e-05,9.840706135963008e-08,1.0742559507200056e-08,3.3789927298717354e-11,1.733263837744536e-11,,75.80228011778502,297.07253235999997,39.29198138
,,,,,,,,297.08257118999995,71.64019641541992,4.183117502979414,0.05899849445486503,5.418254203673607e-05,9.856081127691885e-08,1.0758178603926613e-08,3.3844059489972604e-11,1.7364983453141785e-11,,75.88236670476645,297.08257118999995,36.240177
,,,,,,,,297.07253235999997,71.56463710299734,4.178660488241534,0.05892831227257072,5.410507282966206e-05,9.840706135963008e-08,1.0742559507200056e-08,3.3789927298717354e-11,1.733263837744536e-11,,75.80228011778502,297.07253235999997,41.39009689
