temp_c,intensity_cps
427.6,125.77
428.8,131.51
429.8,136.25
430.7,141.47
431.8,147.33
432.7,152.51
433.6,158.16
434.6,164.04
435.5,170.31
436.5,177.27
437.5,184.25
438.4,191.31
439.5,199.95
440.5,207.58
441.4,215.7
442.5,225.17
443.4,233.94
444.4,242.97
445.6,254.97
446.5,264.75
447.4,275.27
448.6,288.36
449.6,301.1
450.5,312.62
451.6,327.01
452.5,338.86
453.4,352.16
454.5,368.29
455.4,382.63
456.4,397.54
457.4,415.28
458.3,431.31
459.2,448.17
460.3,468.61
461.3,487.15
462.1,505.38
463.1,526.06
464,545.54
464.8,564.34
465.7,586.73
466.6,607.47
467.3,627.63
468,645.77
468.7,664.15
469.3,681.06
469.9,699.28
470.6,719.2
471.3,739.39
471.9,760.14
472.6,781.81
473.4,807.48
474,829.81
474.7,853.48
475.5,881.52
476.1,906.3
476.8,932.16
477.6,963.21
478.3,991.53
479,1020.7
479.8,1057.82
480.5,1089.4
481.2,1120.99
482,1159.33
482.7,1193.45
483.4,1228.58
484.2,1271.15
485,1311.33
485.7,1352.78
486.6,1406.16
487.3,1445.74
488,1490.83
489,1552.93
489.8,1605.42
490.5,1656.89
491.4,1717.23
492.2,1773.04
492.9,1829.12
493.8,1898.14
494.5,1957.37
495.2,2016.75
496.1,2095.5
496.8,2155.44
497.5,2217.1
498.3,2294.97
499,2363.61
499.7,2432.26
500.6,2528.32
501.3,2601.75
502,2676.2
502.8,2769.04
