temp_c,intensity_cps
23.93257119,47.30296788
23.92253236,47.8751812
23.93257119,54.74174105
23.92253236,58.55649653
23.93257119,58.36575875
23.92253236,51.68993668
23.93257119,44.2511635
23.92253236,39.29198138
23.93257119,36.240177
23.92253236,41.39009689
23.91249352,46.73075456
23.93257119,53.59731441
23.91249352,61.22682536
23.98276534,62.56198978
23.95264885,59.89166094
23.95264885,56.26764324
23.93257119,60.65461204
23.94261002,60.46387427
23.93257119,53.21583886
23.94261002,53.78805219
23.93257119,52.26215
23.93257119,47.49370565
23.93257119,54.55100328
23.93257119,47.8751812
23.93257119,48.44739452
23.93257119,51.30846113
23.92253236,48.82887007
23.94261002,43.86968795
23.93257119,42.15304799
23.92253236,48.44739452
23.92253236,47.11223011
23.92253236,41.77157244
23.91249352,49.78255894
23.92253236,55.69542992
23.92253236,55.50469215
23.93257119,61.41756313
23.92253236,58.93797208
23.93257119,55.69542992
23.86229937,46.92149233
24.80594941,51.11772335
27.42608409,49.78255894
28.75120968,58.36575875
29.45392779,77.6302739
29.99602462,85.83199817
31.40146085,97.08552682
32.57600398,116.9222553
33.46945987,116.9222553
34.43318757,132.7534905
35.55753655,152.9716945
36.772235,179.8657206
37.76607919,197.6043336
38.73984572,230.983444
40.02481599,277.9049363
41.01866018,325.0171664
42.0225432,376.5163653
43.21716399,429.1599908
44.2511635,461.0131991
45.25504652,519.9511711
46.49986146,614.9385824
47.53386097,664.5304036
48.52770516,737.9644465
49.77252011,834.0962844
50.74628664,903.7155718
51.91079094,1011.86389
53.11545056,1158.541238
54.08921709,1289.196612
55.15333309,1435.492485
56.30779856,1646.448463
57.30164275,1801.70901
58.30552577,1969.558251
59.710962,2126.535439
60.70480619,2352.941176
61.71872804,2537.956817
62.75272755,2705.043107
63.72649408,2933.928435
64.7303771,3229.762722
65.9952697,3526.741436
66.99915272,3694.972152
68.06326872,3887.04509
69.25788952,4211.108568
70.30192786,4509.994659
71.25561673,4759.098192
72.53054816,5125.12398
73.53443118,5419.050889
74.51823654,5638.590066
75.78312914,5957.122148
76.79705099,6225.680934
77.82101167,6502.250706
78.94536066,6828.984512
79.9592825,7095.063706
80.95312669,7350.843061
82.13770866,7532.997635
83.13155285,7717.441062
84.13543587,7873.083085
85.26982368,8190.089265
86.28374553,8420.309758
87.30770621,8459.029526
88.29151157,8535.896849
89.29539459,8761.348898
90.30931644,8954.757
91.28308296,9156.748302
92.28696598,9300.755322
